id,name,address_street,address_unit,address_building,address_postal,isHalal
876da698-4572-4bab-8376-045f17fa47bf,Sin Kee Seafood Soup,19 Marsiling Lane,#01-329,Teo Chap Bee Eating House,730019,false
81a39830-80aa-4b35-9119-f6a356f396cd,Founder Bah Kut Teh,530 North Bridge Rd,#01-01,,188747,false
3fb46d91-dafc-4f2c-8bc9-e21d9e4f6414,Seattle Pike Chowder,1 Raffles Place,#B1-28/29,One Raffles Place,048616,false
7158617e-72db-438f-a01e-ffe76ce622ae,Tan Ser Seng Herbs Restaurant,29 Lor Bachok,,,387791,false
870648fa-680f-4b42-bf42-af39fcd2baf5,Long Jiang Chinos,81 Lorong Chencharu,#01-06/07,Orto Park,769198,false
6fd86739-0b84-4daf-9b31-69b8b6463fea,Rasa Istimewa Waterfront,6A Admiralty Rd,,,757445,true
d8a6703c-cb04-4bff-a1a7-da5fbe4bd8ae,The Boiler,18 Howard Rd,#01-06,Novelty Bizcentre,369585,false
2712912a-ce4d-4d12-b36b-f9fe4d5239ff,Lime (PARKROYAL on Pickering),3 Upper Pickering Street,,,058289 ,false
29e06ca7-117d-4a22-abfe-ffe557eed658,New Lucky Claypot Rice,44 Holland Drive,#02-19,Holland Drive Market & Food Centre,270044,false
4c35efdc-8ca6-447b-b5a2-b3fbdf2746dc,Dynasty Ipoh Seafood,151 Bishan Street 11,#01-195,New Century Food House,570151,false
8f65a023-f719-4086-a1e2-f7e320ec9d27,Lau Wang Claypot Delights,263 Serangoon Central Drive,#01-43,,550263,false
1b9b6b14-e8fb-4650-a7ac-1823c0ca199e,Old Street Bak Kut Teh,1 Stadium Place,#01-22/22A,Kallang Wave Mall,397628,false
6f255c24-0043-496a-a80b-bb8ac7c66e45,Peony Jade @ Keppel Club,10 Bukit Chermin Rd,,M Level,109918,false
41f7b9e6-d28f-44d0-a43c-0177fda62098,Holiday Inn Atrium,317 Outram Rd,,,169075,false
b7d0c2b6-e56a-4d2d-8801-5da481bffa0b,Raffles Hotel,1 Beach Rd,,,189673,false
9a8b0ab1-7942-458a-9b49-d2b3ba4070ed,Bakerzin,28 Tai Seng Street,#04-01,Sakae Building,534106,false
f6439974-827b-4106-8739-da81e18a6a3e,Koo Kee Yong Tow Foo Mee ,Blk 32 New Market Road,#01-1114,People's Park Food Centre,050032,false
17cb4f33-5861-4670-a3db-3cd495e7d0f6,??? Sarawak Kolo Mee,14 Haig Rd,#01-33,,430014,false
d361f8cf-db59-43fa-a74c-5793d2383e08,Zheng Yi Hainanese Beef Noodles, 47 Tai Thong Crescent,,Kin Seng Coffeeshop,347867,false
5272b569-4b27-40bc-9da3-c2ac24181c86,Beach Road Prawn Mee Eating House,370 East Coast Road,,,428981,false
ca057067-3ced-45f0-a850-fdde77ac23cf,Kichi Kichi Omurice,"Japan, ?604-8017 Kyoto Prefecture, Kyoto, Nakagyo Ward, ???185-4",,,,false
dfa23fd7-d538-4f6a-b833-e0979885a331,Daikisuisan Kaitenzushi,"Japan, ?542-0076 Osaka Prefecture, Osaka, Chuo Ward, Nanba, 5-1-60 ???CITY????",,,,false
90fc33ec-0b1c-424c-92d2-d9b7fee79443,Tsurutontan Soemoncho,"Japan, ?542-0084 Osaka Prefecture, Osaka, Chuo Ward, Souemoncho, 3-17",,,,false
9c190de7-b636-4adf-84ed-3d52d2164e62,Semba Curry,"??????3-3-10 ???? 2F Osaka, ??? ?541-0054 Japan",,,,false
f9c35de5-12f1-4967-8161-a64d8ac3a465,Ichiran Ramen,"Japan, ?542-0084 Osaka Prefecture, Osaka, Chuo Ward, Souemoncho, 7-18",,,,false
aafa531c-c290-4746-a65b-9659df14e1b4,JPOT,1 Harbourfront Walk,#01-53,Lobby F VivoCity,098585,false
1e96262d-b5d6-4c71-8245-18f485080983,Da Miao Hotpot,3C River Valley Road,#01-11,The Cannery,179022,false
0b61aef8-cfe8-438a-86f9-074001001dcc,Emperor Pot,100 Tyrwhitt Rd,,Stadium,207542,false
21920511-a6f3-44ea-9aeb-a18ce90c4dd4,Huay Kwang Thai Kitchen,246 Upper Thomson Rd,,,574370,false
bd3a062b-3ae0-420e-be55-0b7a58826641,Golden Pillow 933,1 Kaki Bukit Rd 1,#05,11 Enterprise One (Indian Food),415934,false
14970433-b6f7-4e7d-8302-06f46bd34404,Chakey's Serangoon Salt-Baked Chicken,97 East Coast Rd,,,428797,false
b6589cd3-3d79-46b8-a1ed-d7d57adbe572,Duck Master,1 Park Rd,#01-K99,People's Park Complex,059108,false
f5c5b335-fd93-4f6e-9203-1d5008647db3,First Love Patisserie,2 Orchard Turn,#B4-63,Ion Orchard,238801,false
7a192d21-df5c-4964-96f8-fafb9a516a47,Kelly Jie Seafood,211 Lor 8 Toa Payoh,#01-11/15,,310211,false
159eea62-5cf2-4681-917e-9af66d34a47c,Quentin's The Eurasian Restaurant,139 Ceylon Road,,Eurasian Community House,429744,false
f3a02070-c780-4821-898d-7d12177db042,Badoque,298 Bedok Road,,Bedok Shopping Complex,469454,true
f2a7ce2a-81ec-432a-9c79-21d8011dd5d9,Cocobay,3 Norris Road,,,208248,false
0bc901ae-9746-41c8-9c05-8065232aaa9c,25 Degrees Singapore,200 Middle Rd,,Hotel G,188980,false
ed5c5abc-5d64-4677-9c11-2f9f0b1e836b,Wolf Burgers,5 Changi Business Park Central 1,#01-43,Changi City Point,486038,false
9775071f-9eff-4ddd-b736-5c9149dde31f,Burgs,505 Beach Road,#B1-24,Golden Mile Food Centre,199583,true
d0c0a4e0-a6bb-483a-a26c-719db7f019e4,VeganBurg,44 Jln Eunos,,,419502,false
a50a1311-e5e9-4b4e-9693-89017efac88f,Da Bao Lorong 15,116 Sims Avenue,,,387440,false
5de66fab-be37-45b8-b38d-08cc6d83e7a4,Fish & Chicks,Blk 531 Ang Mo Kio Avenue 10,#01-2429,Happy Hawkers,560531,false
d7b22150-0a01-41e0-a3b0-a5267e13969e,Orchid Live Seafood,1 Bah Soon Pah Rd,,,769959,false
68fc1eac-7bd7-4d9a-bdf2-be1a6c35d3db,J65,1A Cuscaden Rd,,Hotel Jen Tanglin,249716,false
71f40940-dafe-4116-8da4-90f1d609f5d8,House of Desserts,137A Tampines Street 11,,Tampines Round Market,522137,false
84ee2b8b-bd52-4090-918a-376520ad2ea2,75 Ah Balling Peanut Soup,505 Beach Road,#01-75,Golden Mile Food Centre,199583,false
f88d7bf2-9d6e-41cb-9a3e-cb10937cf75f,Jin Jin Dessert,6 Jalan Bukit Merah,#01-20,ABC Brickworks Market & Food Centre,150008,false
f980e1bb-6a11-4a31-92e4-2d48a7bc73ca,Kim Lotus Dessert,463 Jurong West Street 41,,,640463,false
0b8f07ce-4ea8-413d-a34e-a16a9a22bf9c,Pezzo,,,,,false
ab8cada4-f1ec-47dc-b3a6-60f6a90125ac,Grand Harvest Durian,Blk 846 Yishun RIng Road,#01-3653,,760846,false
dee4af2b-1d19-40c5-b030-1475bc609cd6,Classic Cakes,41 Sunset Way,#01-06,Clementi Arcade,597071,false
02bd2c1c-ee07-4359-b1c7-cc1e440605cf,Union Farm Eating House,435A Clementi Road,,,599474,false
523285cf-4d74-48f2-b635-8092ad8271cf,Poh Cheu,127 Bukit Merah Lane 1,,,150127,false
a58bcba1-6332-4e6e-baf1-944fe2b07c9e,Chinatown Tai Chong Kok Confectionery Hue Kee,Blk 122 Bukit Merah Lane,#01-62,Alexandra Village,155122,false
27188905-eefa-41da-9ea3-63bb45ebe05c,Original Sin,43 Jalan Merah Saga,#01-62,Chip Bee Gardens,278115,false
c8a052b9-d822-45bc-bb68-5db99ba266b1,Sunny Choice Organic Vegetarian Cafe,434 Upper Bukit Timah Rd,,The Rail Mall,678060,false
c277f46f-b1d3-4583-a10e-6cd732f08ba6,Elemen,301 Upper Thomson Road,#01-113,,574408,false
887b7b6a-7e77-4124-8449-5f86b6961449,Whole Earth,76 Peck Seah St,,,079331,false
97c8a6c3-d080-4c46-88fe-061abd9ab095,Dunman Charsiew Wanton Mee,271 Onan Road,#02-19,Dunman Food Centre,424768,false
0b48bc73-a9d4-4757-a5c2-e1d27fd08a0c,South Bouna Vista Famous Teochew Duck 16 Sam Leong Road,,,Kim San Leng Eating House,,false
ba89e18a-8372-41fa-b8e4-9fa670397b78,Hainan Fried Hokkien Prawn Mee,505 Beach Road,#B1-34,Golden Mile Food Centre,19958,false
c8f298e2-4ebe-4b45-ab33-f4c5bfec3bf5, Xin Mei Xiang Zheng Zhong Lor Mee,51 Old Airport Rd,#01-116,Old Airport Road Hawker Centre,390051,false
4e2371c3-3084-4b30-9400-68b03792d61b,FisherChef ,348 Bedok Rd,#02-16,The Bedok Marketplace,469560,false
25048971-0460-4d1f-b219-2760c38312ab,Unkai Japanese Cuisine,51 Old Airport Rd,#01-89,Old Airport Road Food Centre,390051,false
34b215cc-3991-4287-9338-13fd82c1eefe,Don.,30 Foch Road,#01-02,,209276,false
beaaee50-e9e7-4838-acc0-c081e92c994a,Buta Kin,144 Upper Bukit Timah Rd,#04-04,Beauty World Centre,588177,false
7f43f511-876c-4f40-bb58-958b0a688112,Char Express,73A Ayer Rajah Crescent,,JTC LaunchPad @ one-north,139957,false
c38ddadd-ecab-4e47-bee2-447d3acf8aca,A Taste Affair,,#02-128,Amoy Street Food Centre,,false
2f147b92-719b-4389-9790-b1c04455497b,Kampung Bowl,,,228 East Coast Road,,false
d3c4aa27-8cf7-498d-a361-a80d611a2b68,The Burning Oak,348 Bedok Rd,#02-16,Simpang Bedok,469560,false
